2026-04-12,04:24:06,0,0,0,1949,1644,-0.01,0.04,-0.50,2.19,5.42,-0.02,29.02,703
2026-04-12,04:24:06,0,0,0,1947,1643,-0.01,0.04,-0.50,2.16,5.60,-0.05,29.01,704
2026-04-12,04:24:06,0,0,0,1955,1650,-0.01,0.04,-0.50,2.13,5.54,-0.08,29.02,705
2026-04-12,04:24:07,0,0,0,1947,1643,-0.01,0.04,-0.50,1.98,5.50,-0.13,29.04,706
2026-04-12,04:24:08,0,0,0,1962,1655,-0.01,0.04,-0.50,2.21,5.55,-0.12,29.03,707
2026-04-12,04:24:08,0,0,0,1958,1652,-0.01,0.04,-0.50,2.25,5.47,-0.09,29.04,708
2026-04-12,04:24:08,0,0,0,1963,1656,-0.01,0.04,-0.50,2.11,5.61,-0.05,29.04,709
2026-04-12,04:24:09,0,0,0,1947,1643,-0.01,0.04,-0.50,1.97,5.41,-0.02,29.02,710
2026-04-12,04:24:10,0,0,0,1947,1643,-0.01,0.04,-0.51,2.04,5.52,-0.09,29.05,711
2026-04-12,04:24:10,0,0,0,1948,1644,-0.01,0.04,-0.50,2.05,5.53,0.06,29.03,712
2026-04-12,04:24:10,0,0,0,1951,1646,-0.01,0.04,-0.50,2.22,5.45,0.02,29.05,713
2026-04-12,04:24:11,0,0,0,1955,1650,-0.01,0.04,-0.50,2.27,5.66,-0.02,29.06,714
2026-04-12,04:24:12,0,0,0,1956,1651,-0.01,0.04,-0.50,1.98,5.32,-0.15,29.02,715
2026-04-12,04:24:12,0,0,0,1963,1656,-0.01,0.04,-0.50,2.22,5.37,-0.14,29.08,716
2026-04-12,04:24:12,0,0,0,1961,1654,-0.01,0.04,-0.50,2.06,5.68,0.34,29.09,717
2026-04-12,04:24:13,0,0,0,1947,1643,-0.01,0.04,-0.50,2.16,5.70,-0.11,29.09,718
2026-04-12,04:24:14,0,0,0,1946,1642,-0.01,0.04,-0.50,2.23,5.49,-0.02,29.08,719
2026-04-12,04:24:14,0,0,0,1957,1652,-0.01,0.03,-0.50,2.02,5.62,0.05,29.06,720
2026-04-12,04:24:14,0,0,0,1948,1644,-0.01,0.04,-0.50,1.94,5.51,-0.29,29.03,721
2026-04-12,04:24:15,0,0,0,1951,1646,-0.01,0.04,-0.50,1.95,5.55,0.02,29.05,722
2026-04-12,04:24:16,0,0,0,1951,1646,-0.01,0.04,-0.51,2.19,5.62,-0.06,29.11,723
2026-04-12,04:24:16,0,0,0,1955,1650,-0.01,0.04,-0.50,2.11,5.59,-0.02,29.09,724
2026-04-12,04:24:16,0,0,0,1959,1654,-0.01,0.04,-0.50,1.90,5.48,-0.25,29.07,725
2026-04-12,04:24:17,0,0,0,1959,1654,-0.01,0.04,-0.50,1.87,5.55,-0.24,29.08,726
2026-04-12,04:24:18,0,0,0,1957,1652,-0.01,0.04,-0.50,2.12,5.57,-0.12,29.08,727
2026-04-12,04:24:18,0,0,0,1950,1646,-0.01,0.04,-0.50,2.12,5.54,-0.01,29.09,728
2026-04-12,04:24:18,0,0,0,1955,1650,-0.01,0.04,-0.50,2.09,5.52,-0.11,29.10,729
2026-04-12,04:24:19,0,0,0,1956,1651,-0.01,0.04,-0.50,2.19,5.54,-0.12,29.10,730
2026-04-12,04:24:20,0,0,0,1948,1644,-0.01,0.04,-0.50,1.93,5.58,-0.10,29.10,731
2026-04-12,04:24:20,0,0,0,1980,1670,-0.01,0.04,-0.50,2.05,5.48,-0.13,29.14,732
2026-04-12,04:24:20,0,0,0,1961,1654,-0.01,0.04,-0.50,2.15,5.67,-0.09,29.16,733
2026-04-12,04:24:21,0,0,0,1969,1661,-0.01,0.04,-0.50,2.02,5.45,-0.09,29.14,734
2026-04-12,04:24:22,0,0,0,1959,1654,-0.01,0.04,-0.50,1.95,5.52,-0.13,29.14,735
2026-04-12,04:24:22,0,0,0,1951,1646,-0.01,0.04,-0.50,2.02,5.64,-0.08,29.14,736
2026-04-12,04:24:22,0,0,0,1959,1654,-0.01,0.04,-0.50,1.97,5.58,-0.05,29.12,737
2026-04-12,04:24:23,0,0,0,1955,1650,-0.01,0.04,-0.50,2.23,5.44,-0.12,29.10,738
2026-04-12,04:24:24,0,0,0,1951,1646,-0.01,0.04,-0.50,1.81,5.51,-0.09,29.13,739
2026-04-12,04:24:24,0,0,0,1948,1644,-0.01,0.04,-0.50,1.94,5.47,-0.06,29.14,740
2026-04-12,04:24:24,0,0,0,1955,1650,-0.01,0.04,-0.50,2.28,5.64,-0.09,29.14,741
2026-04-12,04:24:25,0,0,0,1963,1656,-0.01,0.04,-0.50,2.11,5.59,-0.14,29.16,742
2026-04-12,04:24:26,0,0,0,1970,1662,-0.01,0.04,-0.50,2.09,5.58,-0.15,29.16,743
2026-04-12,04:24:26,0,0,0,1955,1650,-0.01,0.04,-0.50,1.99,5.46,-0.11,29.18,744
2026-04-12,04:24:26,0,0,0,1954,1649,-0.01,0.04,-0.50,2.02,5.55,-0.09,29.16,745
2026-04-12,04:24:27,0,0,0,1947,1643,-0.01,0.03,-0.50,1.77,5.47,-0.55,29.16,746
2026-04-12,04:24:28,0,0,0,1973,1665,-0.01,0.04,-0.50,1.99,5.57,0.09,29.19,747
2026-04-12,04:24:28,0,0,0,1949,1644,-0.01,0.04,-0.50,2.08,5.58,0.10,29.18,748
2026-04-12,04:24:28,0,0,0,1963,1656,-0.01,0.04,-0.50,1.96,5.51,-0.45,29.16,749
